남아메리카주,세인트루시아,남성,0,0,0,0,2,0,1,1,7,4,4,3
남아메리카주,세인트루시아,여성,0,0,0,0,3,0,1,1,2,3,2,0
남아메리카주,가이아나,남성,1,1,0,0,1,0,3,2,1,2,3,1
남아메리카주,가이아나,여성,1,0,0,1,2,0,3,2,3,3,2,2
남아메리카주,세인트빈센트그레나딘,남성,0,1,1,0,2,2,4,2,3,1,3,0
남아메리카주,세인트빈센트그레나딘,여성,0,0,0,0,0,0,0,0,2,0,1,0
남아메리카주,수리남,남성,0,0,0,0,1,0,0,0,5,1,1,1
남아메리카주,수리남,여성,0,0,0,0,0,0,0,1,1,2,0,1
유럽주,독일,남성,1515,1649,1558,2623,3594,3793,4391,5531,5824,6283,5611,4163
유럽주,독일,여성,240,762,275,906,1175,1276,1790,3296,3285,3018,1694,1750
유럽주,프랑스,남성,1317,1702,1446,2234,2763,2855,3526,5156,4408,5587,4857,4070
유럽주,프랑스,여성,356,1171,284,1145,1523,1439,2539,3977,2940,4083,2397,2209
유럽주,러시아 (연방),남성,2560,2545,1927,2169,2737,3325,3785,3895,4186,4465,5037,5415
유럽주,러시아 (연방),여성,690,975,640,754,962,1351,2158,2725,2695,2489,2849,3476
유럽주,영국,남성,790,706,786,1485,2164,2414,2883,3656,3417,4232,3889,3646
유럽주,영국,여성,326,402,259,762,1024,1210,1730,2302,1959,2504,1720,2148
유럽주,네덜란드,남성,885,933,928,1417,1639,1612,2079,2027,2050,2389,2206,1830
유럽주,네덜란드,여성,61,244,66,320,372,419,801,901,742,877,560,600
유럽주,이탈리아,남성,349,372,403,665,1000,1010,1168,1359,1375,1922,1987,1181
유럽주,이탈리아,여성,90,216,95,195,347,356,451,1012,714,994,699,574
유럽주,스페인,남성,173,176,279,527,586,595,842,1141,986,1346,1260,890
유럽주,스페인,여성,84,178,125,310,241,336,513,1020,796,947,728,597
유럽주,우크라이나,남성,982,1062,899,782,900,951,1116,1026,907,1130,990,940
유럽주,우크라이나,여성,62,60,167,276,180,169,151,234,195,249,197,154
유럽주,폴란드,남성,359,416,363,484,650,767,711,769,927,1182,1122,871
유럽주,폴란드,여성,46,108,31,149,219,251,259,430,598,552,398,305
유럽주,스위스,남성,63,104,85,276,327,348,584,570,696,855,621,459
유럽주,스위스,여성,36,87,36,208,165,220,430,455,494,626,248,279
유럽주,벨기에,남성,175,199,162,279,388,404,503,556,607,737,697,492
유럽주,벨기에,여성,45,80,32,122,151,172,353,395,428,418,294,207
유럽주,스웨덴,남성,126,111,102,256,364,458,375,496,496,774,677,508
유럽주,스웨덴,여성,72,113,42,117,174,342,230,375,305,481,364,297
유럽주,오스트리아,남성,132,155,158,252,437,334,458,581,540,635,582,390
유럽주,오스트리아,여성,20,62,21,90,113,116,273,356,312,328,164,172
유럽주,덴마크,남성,120,139,94,261,340,317,384,474,442,647,543,318
유럽주,덴마크,여성,44,55,21,153,129,149,244,316,270,419,238,199
유럽주,루마니아,남성,348,346,401,321,344,358,404,388,434,593,403,362
유럽주,루마니아,여성,17,29,20,57,73,77,112,156,175,300,153,127
유럽주,그리스,남성,378,285,399,247,395,360,528,483,355,498,484,482
유럽주,그리스,여성,12,22,19,45,30,50,79,113,105,90,81,102
유럽주,핀란드,남성,252,282,126,233,322,344,256,316,329,534,522,491
유럽주,핀란드,여성,29,115,25,51,93,169,102,195,154,330,174,181
유럽주,노르웨이,남성,87,64,48,182,282,296,253,303,293,452,366,283
유럽주,노르웨이,여성,42,55,14,87,108,182,166,242,236,247,182,204
