대륙,국적,성별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
유럽주,유고슬라비아,여자,9 ,3 ,14 ,21 ,13 ,10 ,13 ,15 ,11 ,24 ,17 ,10 
유럽주,알바니아,남자,12 ,25 ,27 ,18 ,16 ,29 ,14 ,26 ,32 ,24 ,21 ,18 
유럽주,알바니아,여자,11 ,9 ,5 ,8 ,15 ,12 ,14 ,30 ,23 ,22 ,11 ,6 
유럽주,몰도바,남자,21 ,20 ,12 ,25 ,29 ,22 ,29 ,74 ,15 ,23 ,27 ,13 
유럽주,몰도바,여자,2 ,9 ,14 ,5 ,6 ,5 ,6 ,19 ,7 ,24 ,9 ,7 
유럽주,아르메니아,남자,12 ,9 ,9 ,17 ,19 ,21 ,20 ,17 ,11 ,20 ,36 ,18 
유럽주,아르메니아,여자,15 ,14 ,8 ,21 ,15 ,10 ,17 ,27 ,23 ,23 ,10 ,17 
유럽주,보스니아-헤르체고비나,남자,14 ,13 ,24 ,41 ,41 ,30 ,12 ,89 ,22 ,48 ,21 ,16 
유럽주,보스니아-헤르체고비나,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,코소보,남자,1 ,4 ,2 ,2 ,3 ,4 ,5 ,1 ,31 ,5 ,7 ,0 
유럽주,코소보,여자,1 ,5 ,0 ,1 ,4 ,1 ,6 ,2 ,13 ,1 ,2 ,1 
유럽주,안도라,남자,0 ,1 ,1 ,5 ,4 ,3 ,3 ,7 ,4 ,1 ,1 ,2 
유럽주,안도라,여자,2 ,0 ,4 ,4 ,3 ,2 ,3 ,4 ,2 ,0 ,2 ,1 
유럽주,리히텐슈타인,남자,1 ,3 ,3 ,9 ,2 ,3 ,6 ,1 ,8 ,1 ,2 ,0 
유럽주,리히텐슈타인,여자,0 ,0 ,2 ,5 ,0 ,0 ,8 ,1 ,3 ,0 ,1 ,0 
유럽주,모나코,남자,0 ,0 ,2 ,1 ,2 ,1 ,3 ,0 ,2 ,6 ,4 ,8 
유럽주,모나코,여자,0 ,0 ,0 ,1 ,0 ,1 ,3 ,1 ,1 ,10 ,1 ,5 
유럽주,마케도니아,남자,1 ,0 ,0 ,2 ,6 ,5 ,2 ,6 ,6 ,2 ,3 ,3 
유럽주,마케도니아,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,산마리노,남자,0 ,0 ,0 ,0 ,2 ,0 ,3 ,1 ,0 ,0 ,0 ,0 
유럽주,산마리노,여자,0 ,0 ,0 ,0 ,2 ,0 ,3 ,2 ,0 ,0 ,0 ,0 
유럽주,교황청,남자,1 ,0 ,1 ,2 ,0 ,2 ,0 ,1 ,0 ,1 ,3 ,0 
유럽주,교황청,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,세르비아몬테네그로,남자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,세르비아몬테네그로,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,영국 속령지시민,남자,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
유럽주,영국 속령지시민,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
오세아니아주,오스트레일리아,남자,7530 ,4925 ,6758 ,10112 ,7451 ,7161 ,6479 ,7455 ,9260 ,8926 ,7286 ,10025 
