년,월,국적지역,입국자수
2018,8,미상,1
2018,9,미상,0
2018,10,미상,0
2018,11,미상,0
2018,12,미상,0
2018,1,미얀마,6011
2018,2,미얀마,5355
2018,3,미얀마,6127
2018,4,미얀마,7402
2018,5,미얀마,6515
2018,6,미얀마,5953
2018,7,미얀마,6337
2018,8,미얀마,5293
2018,9,미얀마,5542
2018,10,미얀마,6118
2018,11,미얀마,5337
2018,12,미얀마,5527
2018,1,미이크로네시아,5
2018,2,미이크로네시아,7
2018,3,미이크로네시아,11
2018,4,미이크로네시아,11
2018,5,미이크로네시아,28
2018,6,미이크로네시아,25
2018,7,미이크로네시아,37
2018,8,미이크로네시아,26
2018,9,미이크로네시아,31
2018,10,미이크로네시아,24
2018,11,미이크로네시아,21
2018,12,미이크로네시아,21
2018,1,바누아투,1
2018,2,바누아투,9
2018,3,바누아투,31
2018,4,바누아투,35
2018,5,바누아투,46
2018,6,바누아투,30
2018,7,바누아투,66
2018,8,바누아투,26
2018,9,바누아투,11
2018,10,바누아투,7
2018,11,바누아투,7
2018,12,바누아투,5
2018,1,바레인,46
2018,2,바레인,29
2018,3,바레인,45
2018,4,바레인,86
2018,5,바레인,50
2018,6,바레인,98
2018,7,바레인,72
2018,8,바레인,96
2018,9,바레인,61
2018,10,바레인,69
2018,11,바레인,64
2018,12,바레인,50
2018,1,바베이도스,10
2018,2,바베이도스,15
2018,3,바베이도스,4
2018,4,바베이도스,66
2018,5,바베이도스,6
2018,6,바베이도스,5
2018,7,바베이도스,13
2018,8,바베이도스,9
2018,9,바베이도스,6
2018,10,바베이도스,8
2018,11,바베이도스,9
2018,12,바베이도스,4
2018,1,바하마,8
2018,2,바하마,6
2018,3,바하마,6
2018,4,바하마,20
2018,5,바하마,14
2018,6,바하마,12
2018,7,바하마,12
2018,8,바하마,20
2018,9,바하마,11
2018,10,바하마,13
2018,11,바하마,6
2018,12,바하마,5
2018,1,방글라데시,1272
2018,2,방글라데시,1289
2018,3,방글라데시,1524
2018,4,방글라데시,1242
2018,5,방글라데시,1226
2018,6,방글라데시,1283
2018,7,방글라데시,1408
2018,8,방글라데시,1586
2018,9,방글라데시,1622
2018,10,방글라데시,1603
2018,11,방글라데시,1302
2018,12,방글라데시,1254
2018,1,베냉,11
2018,2,베냉,27
2018,3,베냉,11
2018,4,베냉,6
2018,5,베냉,22
2018,6,베냉,7
2018,7,베냉,9
2018,8,베냉,25
2018,9,베냉,18
2018,10,베냉,6
2018,11,베냉,9
2018,12,베냉,5
2018,1,베네수엘라,171
2018,2,베네수엘라,155
2018,3,베네수엘라,170
2018,4,베네수엘라,191
2018,5,베네수엘라,170
2018,6,베네수엘라,137
2018,7,베네수엘라,175
2018,8,베네수엘라,159
2018,9,베네수엘라,192
2018,10,베네수엘라,159
2018,11,베네수엘라,163
2018,12,베네수엘라,154
2018,1,베트남,19513
2018,2,베트남,30759
2018,3,베트남,50858
2018,4,베트남,56811
2018,5,베트남,38158
2018,6,베트남,52236
2018,7,베트남,50616
2018,8,베트남,41519
2018,9,베트남,42003
2018,10,베트남,59354
2018,11,베트남,44005
2018,12,베트남,33616
2018,1,벨기에,770
2018,2,벨기에,826
2018,3,벨기에,1086
2018,4,벨기에,1317
2018,5,벨기에,1031
2018,6,벨기에,928
2018,7,벨기에,1299
2018,8,벨기에,1039
2018,9,벨기에,1165
2018,10,벨기에,1420
2018,11,벨기에,1019
2018,12,벨기에,778
2018,1,벨로루시,115
2018,2,벨로루시,259
2018,3,벨로루시,161
2018,4,벨로루시,169
2018,5,벨로루시,152
2018,6,벨로루시,138
2018,7,벨로루시,161
2018,8,벨로루시,189
2018,9,벨로루시,170
2018,10,벨로루시,193
2018,11,벨로루시,151
2018,12,벨로루시,116
2018,1,벨리즈,3
2018,2,벨리즈,6
2018,3,벨리즈,1
2018,4,벨리즈,4
2018,5,벨리즈,5
2018,6,벨리즈,4
2018,7,벨리즈,4
2018,8,벨리즈,5
2018,9,벨리즈,2
2018,10,벨리즈,8
2018,11,벨리즈,2
2018,12,벨리즈,1
2018,1,보스니아,3
2018,2,보스니아,11
2018,3,보스니아,19
2018,4,보스니아,17
2018,5,보스니아,18
2018,6,보스니아,7
2018,7,보스니아,7
2018,8,보스니아,20
2018,9,보스니아,18
2018,10,보스니아,30
2018,11,보스니아,15
2018,12,보스니아,16
2018,1,보츠와나,14
2018,2,보츠와나,21
2018,3,보츠와나,7
2018,4,보츠와나,26
2018,5,보츠와나,27
2018,6,보츠와나,13
2018,7,보츠와나,24
2018,8,보츠와나,16
2018,9,보츠와나,66
2018,10,보츠와나,17
2018,11,보츠와나,17
2018,12,보츠와나,20
2018,1,볼리비아,63
2018,2,볼리비아,53
2018,3,볼리비아,43
2018,4,볼리비아,58
2018,5,볼리비아,37
2018,6,볼리비아,53
2018,7,볼리비아,85
2018,8,볼리비아,68
2018,9,볼리비아,58
2018,10,볼리비아,73
2018,11,볼리비아,43
2018,12,볼리비아,53
2018,1,부룬디,5
2018,2,부룬디,23
2018,3,부룬디,5
2018,4,부룬디,9
2018,5,부룬디,28
2018,6,부룬디,2
2018,7,부룬디,27
2018,8,부룬디,18
2018,9,부룬디,15
2018,10,부룬디,12
2018,11,부룬디,12
2018,12,부룬디,6
2018,1,부르키나파소,2
2018,2,부르키나파소,9
2018,3,부르키나파소,10
2018,4,부르키나파소,17
2018,5,부르키나파소,27
2018,6,부르키나파소,15
2018,7,부르키나파소,7
2018,8,부르키나파소,20
2018,9,부르키나파소,8
2018,10,부르키나파소,15
2018,11,부르키나파소,5
2018,12,부르키나파소,4
2018,1,부탄,15
2018,2,부탄,24
2018,3,부탄,38
2018,4,부탄,50
2018,5,부탄,38
2018,6,부탄,70
2018,7,부탄,33
2018,8,부탄,42
2018,9,부탄,58
2018,10,부탄,72
2018,11,부탄,58
2018,12,부탄,28
2018,1,불가리아,371
2018,2,불가리아,377
2018,3,불가리아,496
2018,4,불가리아,591
2018,5,불가리아,635
2018,6,불가리아,523
2018,7,불가리아,515
2018,8,불가리아,611
2018,9,불가리아,592
2018,10,불가리아,587
2018,11,불가리아,468
2018,12,불가리아,362
2018,1,브라질,1443
