국  적,성별,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월
몰  도  바,여,7,21,9,9,11,14,9,20,10,24,6,5
아르메니아,남,13,20,17,13,17,10,9,21,11,18,25,8
아르메니아,여,7,13,13,9,15,8,7,26,12,19,21,12
영국 외지민,남,0,0,0,0,0,22,46,67,55,50,44,50
영국 외지민,여,0,0,0,0,0,0,0,0,0,0,0,0
보스니아-헤르체고비나,남,3,11,19,17,18,7,7,20,18,30,15,16
보스니아-헤르체고비나,여,0,0,0,0,0,0,0,0,0,0,0,0
리히텐슈타인,남,2,17,4,7,2,2,4,4,2,3,3,7
리히텐슈타인,여,1,10,0,2,2,1,7,2,2,1,0,3
코소보,남,1,15,0,5,7,2,6,1,7,6,2,1
코소보,여,1,1,1,5,2,1,3,1,4,1,0,1
안  도  라,남,1,16,3,2,1,4,4,1,2,6,3,3
안  도  라,여,0,3,5,0,0,0,5,4,3,1,3,0
모  나  코,남,1,18,0,5,2,0,6,1,1,5,1,0
모  나  코,여,2,4,2,5,2,0,0,0,0,3,0,0
마케도니아,남,4,5,3,3,2,2,3,4,1,5,3,4
마케도니아,여,0,0,0,0,0,0,0,0,0,0,0,0
산 마 리 노,남,0,12,1,4,0,2,0,2,0,1,1,0
산 마 리 노,여,0,2,0,1,1,0,0,1,0,1,1,0
교황청,남,0,1,0,1,1,0,2,0,3,1,0,2
교황청,여,0,0,0,0,0,0,0,0,0,1,0,0
세르비아 몬테네그로,남,1,0,3,0,0,0,0,0,0,0,0,0
세르비아 몬테네그로,여,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지시민,남,0,0,0,0,0,0,0,0,1,0,0,0
영국 외지시민,여,0,0,0,0,0,0,0,0,0,0,0,0
오스트레일리아,남,6417,5224,6145,8175,7035,6673,6444,6479,8167,8283,6416,8997
오스트레일리아,여,5398,3636,4645,7433,5515,5269,5158,5218,7238,6736,5393,8296
뉴 질 랜 드,남,1542,1276,1409,1696,1752,1681,1544,1604,1839,1899,1598,1929
뉴 질 랜 드,여,1165,788,976,1430,1312,1213,1162,1186,1482,1381,1265,1523
피      지,남,253,137,124,124,116,161,147,195,155,129,252,109
피      지,여,143,75,78,90,75,124,107,119,175,87,79,121
키 리 바 시,남,82,71,45,45,57,49,68,72,41,90,96,72
키 리 바 시,여,7,6,9,14,4,3,9,8,8,9,2,7
팔  라  우,남,8,9,12,10,15,20,9,12,10,14,15,10
팔  라  우,여,7,7,11,18,16,23,23,31,30,8,16,8
투  발  루,남,14,14,19,27,55,15,30,30,20,25,16,4
투  발  루,여,3,1,6,2,4,2,4,10,6,10,3,0
파푸아뉴기니,남,5,14,16,17,27,19,8,24,11,10,31,8
파푸아뉴기니,여,5,4,9,6,8,1,8,9,14,7,15,5
바 누 아 투,남,1,7,28,34,45,29,63,24,8,7,7,2
바 누 아 투,여,0,2,3,1,1,1,3,2,3,0,0,3
미이크로네시아,남,2,3,2,7,13,10,13,14,22,15,11,12
